20:58:03 - INFO    	|    Train
21:08:10 - INFO    	|    -361.9200429879796
21:08:12 - INFO    	|    -400.9938657903122
21:08:15 - INFO    	|    -335.35150267562926
21:08:17 - INFO    	|    -410.0064074669187
21:08:19 - INFO    	|    -405.84104954663053
21:08:20 - INFO    	|    -216.1869125266117
21:08:22 - INFO    	|    -127.12023246915084
21:08:24 - INFO    	|    -132.33604419097173
21:08:26 - INFO    	|    -133.21740787316986
21:08:28 - INFO    	|    -175.11783981140917
21:08:30 - INFO    	|    -112.17985553222312
21:08:32 - INFO    	|    -173.78303784375484
21:08:34 - INFO    	|    -102.7140044003525
21:08:35 - INFO    	|    -253.5652123546966
21:08:37 - INFO    	|    -181.24965843860284
21:08:39 - INFO    	|    -296.33554337706175
21:08:41 - INFO    	|    -105.04142833577919
21:08:43 - INFO    	|    -136.57575689788834
21:08:45 - INFO    	|    -44.894784846723994
21:08:46 - INFO    	|    -262.49965436871577
21:08:48 - INFO    	|    -156.46012851325014
21:08:51 - INFO    	|    -191.00931900928185
21:08:53 - INFO    	|    -53.89968270566689
21:08:54 - INFO    	|    -337.0908830574754
21:08:56 - INFO    	|    -85.2549987799419
21:08:57 - INFO    	|    -12.975466243442995
21:09:00 - INFO    	|    -323.86757920441113
21:09:01 - INFO    	|    -217.1629345670765
21:09:03 - INFO    	|    -93.9225029037646
21:09:04 - INFO    	|    -124.0326881573658
21:09:06 - INFO    	|    -109.6545794024442
21:09:07 - INFO    	|    -130.15900888494025
21:09:09 - INFO    	|    -200.3662538244579
21:09:11 - INFO    	|    -349.90175551082496
21:09:13 - INFO    	|    -121.60317828810383
21:09:15 - INFO    	|    -188.179254978429
21:09:17 - INFO    	|    -68.44585724834576
21:09:18 - INFO    	|    -123.56233947506573
21:09:20 - INFO    	|    -309.1372369451306
21:09:22 - INFO    	|    -223.94745045112145
21:09:23 - INFO    	|    -99.41535059225298
21:09:25 - INFO    	|    -194.245783259353
21:09:28 - INFO    	|    -218.17853397746848
21:09:30 - INFO    	|    -121.00951263750986
21:09:31 - INFO    	|    -242.22401450077732
21:09:33 - INFO    	|    -126.85711408061593
21:09:35 - INFO    	|    -126.70981787092545
21:09:37 - INFO    	|    -433.0104208100634
21:09:39 - INFO    	|    -101.52795962797049
21:09:40 - INFO    	|    -225.42708836488086
21:09:42 - INFO    	|    -111.47663607679549
21:09:43 - INFO    	|    -100.33346404516188
21:09:45 - INFO    	|    -515.141720745481
21:09:48 - INFO    	|    -281.05745097770034
21:09:50 - INFO    	|    -482.61099000481477
21:09:51 - INFO    	|    -203.49438949629348
21:09:53 - INFO    	|    -130.92917378884886
21:09:55 - INFO    	|    -181.0876417973543
21:09:57 - INFO    	|    -109.88373752308159
21:09:58 - INFO    	|    -113.82448689091429
21:10:00 - INFO    	|    -104.22445590357657
21:10:01 - INFO    	|    -91.33991566577238
21:10:03 - INFO    	|    -31.040251431968855
21:10:05 - INFO    	|    -139.5624476711564
21:10:06 - INFO    	|    -74.82880926590511
21:10:08 - INFO    	|    -234.9367744441305
21:10:10 - INFO    	|    -381.72919315867
21:10:11 - INFO    	|    -103.94198371377819
21:10:13 - INFO    	|    -102.2053309274162
21:10:14 - INFO    	|    -152.47257591575337
21:10:17 - INFO    	|    -137.81929050328822
21:10:19 - INFO    	|    -149.49022715569578
21:10:20 - INFO    	|    -193.07498100374372
21:10:22 - INFO    	|    -244.11772407166055
21:10:25 - INFO    	|    -240.00834552510517
21:10:26 - INFO    	|    -137.5963045070485
21:10:29 - INFO    	|    -330.704685892679
21:10:30 - INFO    	|    -84.85823182044987
21:10:32 - INFO    	|    -141.90898761283663
21:10:34 - INFO    	|    -147.93292983896765
21:10:36 - INFO    	|    -200.06755314904802
21:10:37 - INFO    	|    -137.08470442982906
21:10:39 - INFO    	|    -115.33908428393158
21:10:40 - INFO    	|    -102.20560858978877
21:10:41 - INFO    	|    -101.08607022972103
21:10:43 - INFO    	|    -90.3432495103812
21:10:44 - INFO    	|    -110.35142213898574
21:10:47 - INFO    	|    -136.82870837084778
21:10:49 - INFO    	|    -182.35059282567974
21:10:50 - INFO    	|    -163.5263389940499
21:10:51 - INFO    	|    -115.53990671792846
21:10:54 - INFO    	|    -358.2948752028525
21:10:56 - INFO    	|    -401.1033164812819
21:10:58 - INFO    	|    -99.85156038323277
21:11:00 - INFO    	|    -545.4370429654216
21:11:02 - INFO    	|    -23.032481907986124
21:11:03 - INFO    	|    -112.69346596110746
21:11:05 - INFO    	|    -120.09654485707348
21:11:08 - INFO    	|    -96.67251923391945
21:11:09 - INFO    	|    -166.10786412978712
21:11:11 - INFO    	|    -220.39316008505048
